Operation	Seqn	Address	Value	Value (Model)	PC	Size	Timestamp	Model
WRITE	0	400e1a54	00008000	00000000	0x82c24	4	0.009766101837158203	<conware.peripheral_model.PeripheralModel instance at 0x7f509f36a878>
WRITE	1	400e0a00	00000400	00000000	0x80cec	4	0.011310100555419922	<conware.peripheral_model.PeripheralModel instance at 0x7f509f4f6e60>
WRITE	2	400e0c00	00000400	00000000	0x80d12	4	0.012748003005981445	<conware.peripheral_model.PeripheralModel instance at 0x7f509f47e320>
READ	3	400e0620	00000008	00000000	0x80d24	4	0.01401209831237793	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
WRITE	4	400e0620	00370809	00000000	0x80d3c	4	0.015376091003417969	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	5	400e0668	00030008	00000000	0x80d4a	4	0.016563892364501953	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	6	400e0668	00030008	00000000	0x80d4c	4	0.0178530216217041	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	7	400e0668	00030008	00000000	0x80d58	4	0.019050121307373047	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	8	400e0668	00030008	00000000	0x80d58	4	0.020231962203979492	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	9	400e0668	00030008	00000000	0x80d58	4	0.021431922912597656	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	10	400e0668	00030008	00000000	0x80d58	4	0.022650957107543945	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	11	400e0668	00030008	00000000	0x80d58	4	0.023844003677368164	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	12	400e0668	00030008	00000000	0x80d58	4	0.023962974548339844	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	13	400e0668	00030008	00000000	0x80d58	4	0.02517390251159668	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	14	400e0668	00030008	00000000	0x80d58	4	0.02630901336669922	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	15	400e0668	00030008	00000000	0x80d58	4	0.027560949325561523	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
READ	16	400e0668	00030008	00000000	0x80d58	4	0.02883291244506836	<conware.peripheral_model.PeripheralModel instance at 0x7f50a1502fc8>
